,database ID|Category|Item Name|Quality|Quantity|GBP|USD|AUD|Description|Notes|Colour|Physical|Supplier|URL|Image|GBP notes|USD notes|AUD notes
,thlyaZvzvrIOIvKSKebz||Trainer Quality|Mid Range|||||||Puck is black and the print can be full color|Offical Size Weight Rubber Hockey Puck with full color custom imprint|Hampton Tech||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/hockey-puck-1_720x.png?v=1577933149|||
,tABnPrmMcTTcWZaDwoJ9||||1|25.95|39|45.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,YYseMXXAecL2iswwsfyS||||25|15.95|24.39|28.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,tUJJuDM9t7dzE0uS3Fs2||||50|13.95|19.89|24.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Dq9b5yRBrNsa6M7DFTGM||||100|11.95|14.95|20.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,a48DQjc7AUo4ELqawkej||||250|8.95|11.39|15.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,nihrnpH2dPYmZZL8a5Qn||||500|6.95|8.89|12.19||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,cUIfZTmaAcuQcigtnqDM|Boxing Gloves|||||||Our Boxing Gloves range from promotional quality to match usage.  There are no MOQ's on gloves and the print can be a PMS match. Full descriptions below.||||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-016_Web_720x.jpg?v=1577933152|||
,IqqvZNVRj40cLUHiPM43||Promo|Low Range|||||No MOQ.  We can PMS the print on any quantity.  We can PMS match the glove color for quantities of 50+ pairs.||Stock Colors are Black, White, Green, Blue, Gold, Silver, 2 shades of Red, Grey and Pink|PU Material (cheap quality)|Gold Fire Sports||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-016_Web_720x.jpg?v=1577933152|||
,O0360ACAIikHlA0hb9MJ||||1|59|99|99||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,1UtRpWobVzyOJtkZkgba||||25|34|39|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,I11v6wgIw1rLidgT5cqE||||50|29|32|49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,P5zrblzFMoARlTA5hPJr||||100|22|25|38||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,qDoTZynAARi89gC4icaE||||250|19|21|34||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,xZJmgYfitA7xLps8aBeW||||500|16|17|28||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,KcBfIadCHmQvh376FUSj||Match|High Range|||||No MOQ.  We can PMS the print on any quantity.  We can PMS match the glove color for quantities of 50+ pairs.||Stock Colors are Black, White, Green, Blue, Gold, Silver, 2 shades of Red, Grey and Pink|Cowhide Leather|Gold Fire Sports||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-007_Web_720x.jpg?v=1577933156|||
,4HK7NlGWXivMrUTtd76m||||1|59|89|99||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,KzoOh5AnVuTDpxzEi2me||||25|34|42|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,IOMN6pmYwDePHt9ttLlT||||50|29|39|49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,TxCxhUBwGDLPJoU2CQlZ||||100|22|33|38||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,RyvmIvWsWqFrzoDgSTFu||||250|19|25|34||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,YGPuCgpAdqlvQvJaajKL||||500|16|22|28||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mhG4vU6rZwbmqZt9Z1dV||Trainer|Mid Range|||||No MOQ.  We can PMS the print on any quantity.  We can PMS match the glove color for quantities of 50+ pairs.||Stock Colors are Black, White, Green, Blue, Gold, Silver, 2 shades of Red, Grey and Pink|Buffalo|Gold Fire Sports||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-007_Web_720x.jpg?v=1577933156|||
,P64MElRraHCvPumAIZoK||||1|59|74|99||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,RJ0GiHqYaElxOyuNOJTB||||25|34|39|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,wxoobjoKvE6CkBst8BmV||||50|29|37|49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,4pKUAVFurDhMQBXXk8JG||||100|22|28|38||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,x0Ukq8w2sLuJvc9HzrCk||||250|19|24|34||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,GFTwguM1xC5OZUkbsdfv||||500|16|19|28||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,d5XQr31alBIm8zKFf6KO|Pop-A-Shot|||||||Double Pop-A-Shot|The Classic Court Shootout is ready to play in minutes with its EZ™ assembly frame and included accessories – four game-ready basketballs, a pump and a needle.  Just grab three AA batteries and you’re ready to dominate||||||||
,sdhzNTlVrYYNcyTrRQQE||Double Shooter|Promo||||||Frame is easily folded for convenient storage when not in use.||You can only customize the backboard. The net is black and the rims on the hoops are red.|Victory Tailgate|||||
,5SdhUTESkA6IqHcrkVaN||||1|285|359|509||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,pbLXCWShNgaqz07JBx0E||||25|279|349|494||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,bp9V0fqc5ZF5f8gqpYgx||||50|234|299|425||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,LqEAlUxQW90pOgf1ImB1||||100|199|249|354||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,argSbAyndYFRGtNThfaO||||250|179|229|325||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,OleSLheLnpTjU8XurP4Y||||500|149|189|269||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,d9k7qrtmck1EXjzTzwhV|Tennis Raquets|||||||Our Tennis Rackets can be fully customized. The handle, the frame and the strings||||||https://trello-attachments.s3.amazonaws.com/5af3c63001820a07373cd767/5dc9ba2978459a5188d81bd9/8fc434e032dc441a0926fa4943ae22a7/Tennis_racket.jpg|||
,a4hkPTK5j4N5PwW1lJSr||Promo Quality, handle print only|Mid Range|||||Imprint method is transfer sticker for the graphic on racket frame. Material: 100% Carbon.  The dimensions - different open moulds, similar to big brands rackets on markets.  Any size racket can be provided.||cost is $30 per color|MOQ to print on the strings is 200 units. Print needs to be Large and singular like the letter N for Nike of the check, but not the whole word.|samuel@surecomposite.com||https://trello-attachments.s3.amazonaws.com/5af3c63001820a07373cd767/5dc9ba2978459a5188d81bd9/8fc434e032dc441a0926fa4943ae22a7/Tennis_racket.jpg|||
,LMaLUZAYmOxNtmb3lBO8||||1|149|249|204||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,uM4BOSwDPb7ljxoDpKw9||||25|119|149|149||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,fYZ7Cm5acXL9iVR6qral||||50|69|92|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,goOMzBhMAGafZOA5sG49||||100|59|79|109||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Os6KbqCSxCe5D4nQJNB8||||250|54|69|94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,IZSniQL0pRKZgTM9WPvR||||500|44|59|79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ddHG0aLxZcitPJ9C18qP|Base Balls|||||||Baseball|Official size regulation baseball. 2.875" Traditional white baseball with red stitches with either a 1-color or full color imprint and up to 4 location imprinting available. Pricing shown is for 1 color / 1 location imprint.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-029_Web_720x.jpg?v=1577933204|||
,BAbtvRj328Q92arNl5sJ||Promo Quality|Mid/Low Range|||||||||||https://media.zeedmall.com/5627-medium_default/children-baseball-base-practice-training-ball-foam-softball-student-soft-baseball-pu-baseball-diameter-7-75.jpg|||
,LxJBg5e644DWAwYR7vLd||||1|39|49|69||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,iW60EbNkIIxDE65JHApZ||||25|7.95|10.19|13.98||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,XvfHcOB0OTrzy7XJNgsG||||50|6.23|7.95|10.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,H0pZQ1Uckt2kndnthrNW||||100|5.61|7.19|9.89||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,TYzzO104FT0Vxe2a5kZn||||250|4.26|5.44|7.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,YMOimio9JxVYUD0yR6yo||||500|3.89|4.95|6.85||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,guyF7CEx8VwXXiJ9K9oY||Training Quality|Mid Range|||||Regulation size 2.875"Traditional white baseball with red stitches with either a 1-color or full color imprint and up to 4 location imprinting available.||||Hampton Tech||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-029_Web_720x.jpg?v=1577933204|||
,irXSG6vKzL9Uwo2HVAvP||||1|39|49|69||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,uFfSnIBs6x0Dwubvhzma||||25|9.95|12.69|17.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,6I959vj6oVq186zKKNJN||||50|8.23|10.49|14.47||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,nZDfTI28CLrnkKtiNRjb||||100|7.61|8.69|13.39||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,k9fQWqBmvWQsk656GbYB||||250|7.26|9.19|12.79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,YD1g44yJCPUPliIv6zmF||||500|6.89|8.49|11.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,h8hjDyOHMS0mcunLWfIu|Spike Ball|||||||||||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Slammy-Ball_720x.png?v=1577933297|||
,NCIXTjwmtPHH8ymljS2F||Promo Quality|Low Range|||||Material: STEEL, Plastic+metal+mesh|Size: 36"*36"*10"|depends on the quantity at time of ordering.  Red, Green, orange|MOQ is 50 sets.  Will print logo on game legs and bag. need higher MOQ to print on the ball|Kelly from Ningbo Rufen Commodity Co,.Ltd in China||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Slammy-Ball_720x.png?v=1577933297|||
,0L8ZxgDk41AVTVsNenEK||||1|149.95|189.95|264.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,SWfVKrPjE9IlfL4Muu3k||||25|0|0|0||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||MOQ  50|MOQ  50|MOQ  50
,TBy2rJLIvDhOOZIdUdRZ||||50|99.95|129.95|179.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ztc4TKDuSXspMZ0eDyBm||||100|69.95|89.59|124.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,GzqRgfHjvFDYQ7QyDdwO||||250|49.95|64.95|89.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,zbv6BTc6UOVi7FfFJhzq||||500|34.95|44.95|59.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,igZfjsYrsiqG3WNGx8Vv|American Football Balls|||||||||||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/NFL-1_720x.png?v=1577933180|||
,8Kck3FXPlCXM8c3g1Ym9||Training Quality|Mid Range|||||Size 5 American football has Circumference 54-56cm, length 36cm|Mini Balls- 27cm Length, 39cms Circumference|Up to 10 spot color|They both come in Rubber & PVC|Swati||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/NFL-1_720x.png?v=1577933180|||
,NtP1WVNLopOpclSS1dtM||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,4lIJBSDukXHis14R8Bx3||||25|24.76|32.49|43.86||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,IrG5SCAfjiSBJhEQjBsT||||50|20.54|26.95|36.38||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mddmkuZ2vUWX9UQLA603||||100|16.73|21.95|29.63||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Lq5hyfXVSdalrLe7vmpo||||250|14.43|18.19|25.55||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,GyMv648o61pcZuUaklSO||||500|12.94|16.95|22.88||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,FNZixEvfgvbsXS8Tk3t4||Match Quality|High End|||||Size 5 American football has Circumference 54-56cm, length 36cm|Mini Balls 27cm Length, 39cms Circumference|Up to 10 spot color|They both come in Rubber & PVC|Swati||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/NFL-1_720x.png?v=1577933180|||
,WNguPciUMViBvS8qUHdW||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,D21B8STxpMTKBn7Qipl3||||25|36.19|47.49|57.29||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,4exIEcdamsxQ9Lhsyeeo||||50|32.34|42.44|57.29||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,bpfNRmVop65UwVkX4ZqU||||100|29.56|38.79|52.37||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,uxehPCOp3eBDV6GnDiX5||||250|26.64|34.95|47.18||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Ivy3MlLBfknfM1zkyOqQ||||500|22.83|29.95|40.43||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,HDCFxnik01RMRc4ZIPXE||Promo Quality|Low Range|||||Size 5 American football has Circumference 54-56cm, length 36cm|Mini Balls 27cm Length, 39cms Circumference|Up to 10 spot color|They both come in Rubber & PVC|Swati||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5de049cef99ae130e297713b/ad8d9ba28fa4dcf74d3bfc681ef03d6a/BC4C4CAD-C82B-476C-9C3F-F706E57F7ADC.jpg|||
,xIZ7aduEJOAazCQ95v0Y||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,yKTgweYobPF2wqxuyq46||||25|16.29|21.29|28.74||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,hqHMAylVTu67YMY9xlFN||||50|13.68|17.95|24.23||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Gg9PVOQzjXqJj19F8NKH||||100|11.93|15.66|21.14||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,a2zrZmKYKqX9xeHHvG5m||||250|10.64|13.95|18.82||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,NvQC32ZeDitqU20GyFKx||||500|9.44|12.39|16.74||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,iyoQa4my4qLHzcmV0ZMw|Foosball Coolers|||||||These foosball Coolers have an MOQ of 1 but much better pricing with an order of 50+ units.|The Foosball coolers come from China and can ship anywhere.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Foos_720x.png?v=1583409398|||
,mOBjUuijbeAvYxiCPy1o||Promo Quality|Mid Range|||||||Custom Color Available|Size:69x37x83cm, Material: Iron sheet with powder coating + aluminum liner;|elva@dxsschina.cn||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Foos_720x.png?v=1583409398|||
,W7UX0snCK99LNBtbgZIL||||1|398|499|709||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,0JH7nOntMiVE02JpfzLC||||25|334|419|595||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Ne4BzwNuYSgBK06U1LEX||||50|279|349|495||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,JsOU9hRojTMUzzNCW8yW||||100|205|259|369||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,3SuyUWegnezoiN9TN3yf||||250|167|209|297||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,acmyIEdGSBlob1OCDJmL||||500|129|159|226||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mA8m2XU0IHvUFy8rHs1u|Foosball Tables|||||||Promo quality Foosball tables can be made in any country.  In the USA, we print (full color) on the 4 sides of the table.  In UK and AU, these tables are wrapped with a vinyl decal.|The Foosball coolers come from China and can ship anywhere.|||||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5dad288a2dfab25dddabc6d2/dd2f44a80fac9d93e3f03374a1076488/Foosball_example.png|||
,YaOht9E49aX9UYK6nHKt||Promo Quality|Mid Range|||||This Foosball Table is promo quality.  You can have full color artwork on all 4 sides.  There is no other customization available on the promo level.|The "match" quality table can be fully customized in the USA and starts around $2000.|We can not customize the men on a promo quality. that is only match quality in the USA.||||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5dad288a2dfab25dddabc6d2/dd2f44a80fac9d93e3f03374a1076488/Foosball_example.png|||
,uzMntWvLR9LbAHwBo4uy||||1|799|1100|1275||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,tr5lAju4SXI981wGUWyE||||25|699|999|1239||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,bbefI8fI0GP7R7jhXXXG||||50|689|899|1219||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Nu5s0SC5PupYmEcK3RpX||||100|549|699|974||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,yW0ZH5VIZJLEk3TfW3ek||||250|489|629|869||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,f41uLBx9pXngJKIiBg3K||||500|439|559|778||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mkhApizJvjeDUai1OT42|Dart Boards|||||||Dartboard with Cabinet|Using a digital printing process full color graphics are applied directly onto the dartboard.  The Dartboard is finished with an aluminum frame, metal grid and hanging hook.  Each dartboard comes with 6 brass tipped darts. (3 American Flag Dart Flights and 3 British Flag Dart Flights)|||||https://i.imgur.com/osWPAn5.png|||
,GaKBpJiLWDl0XuOav0GB||Dartboard Only|Mid Range|||||Dartboard weight 7.8lbs and is 18" in diameter and 1"thick||||Profiled Ink||https://trello-attachments.s3.amazonaws.com/5d491fecea16617e417ea872/768x1024/6c1f84454f111b7e04d47967236ef2fa/Disrupt_Dartboard_Coopers.jpg|||
,0idEwusXiTsRTqh3yA7d||||1|99|99|174||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,TUXQioDXRetwm8WxMvNh||||25|89|89|159||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,sQeTNalkiQA22we7X3Xl||||50|82|79|139||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,PRU0zsoflC9hK4EHgAxM||||100|74|69|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,E0VFcJLZQIMOsNKnHvoX||||250|64|59|104||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,bm7ItyQATX7oubKrpzqX||||500|54|49|86||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
